	a1_1_01	a1_1_02	a1_1_03	a1_1_04	a1_1_05	a1_2_01	a1_2_02	a1_2_03	a1_2_04	a1_2_05	a4_1_01	a4_1_02	a4_1_03	a4_1_04	a4_1_05	a4_2_01	a4_2_02	a4_2_03	a4_2_04	a4_2_05	con1	con2	con3
2563baa427127d02df5449a7b759518d	0	0	23	52	16	0	0	0	0	0	16	35	0	0	0	0	0	0	0	0	0	0	0
419c126c177f30785cc40be21a92bfde	0	0	5	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
2a8952998f52f8fe389a58e6ff1d4fc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0
de7063f095280ecd5a69eb6789922cd2	0	0	0	0	0	15	0	0	0	10	0	0	9	0	0	0	0	19	0	0	0	0	0
ff0786acc3ea3eefec43e2602e77ac59	0	6	0	24	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4af1be2916c45a28616409e12afe0c00	13	19	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230f5c2f0772a4317b5a8b25d43744c1	0	45	0	16	14	0	0	0	10	0	11	0	27	21	0	0	0	0	0	0	0	0	0
38b2183177aaea26a40c90855a6f6521	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5f522f089eb1c85a59d28e681f7f529a	0	0	0	10	0	0	0	0	0	0	0	0	8	4	0	0	0	0	0	0	0	0	0
e7c67a3099f5e8f6f8b7d38420190df5	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
238f6eb81cb73de744f7a71dacc42754	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0
f549ce4ff42a1609f70e95d1539eff40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
7bf09996b799019d6d9f34ed854dca03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47
da6cc46660ce08372dadadde2ebf11ca	0	0	0	0	63	625	436	0	77	0	0	0	0	0	0	0	0	40	0	19	0	0	0
e5d9947be723f7bb7a3535de01240b67	0	0	170	33	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0
96b8b3d3f4be45703be059f7d28847da	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	304	188
5ff3e42a4964c3176b6c22afe885e0cb	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	45
5049b327729a4b30c12afe5412f8faa2	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0	26	0	0	0	0
bd7ffe913695618020ca3db344280988	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9c181bbb679a67305e8a71ea7ecbb89f	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0
6b012c2aace69e17f3b4e1e09c5b6ecb	0	0	0	0	0	0	0	0	0	0	0	16	0	0	19	25	61	58	0	0	0	0	0
7b42b84591054b79a5e15421a905077e	42	49	0	10	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1b190e9d4e5634dd86d40101c96f8f91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31
1b517f6ed269c4516f2cc4c6fca1a0a0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45
5325064dbdd093417802200d3a721cd8	0	0	0	0	0	0	0	0	0	0	15	20	0	0	0	0	0	0	0	0	0	0	0
ec90c9aefcc290cf8194d218a13d7ea2	6	0	0	0	0	6	0	25	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
04463c077785387a372e21b3b71602b5	0	0	0	0	9	0	14	0	9	49	0	0	0	12	0	151	0	49	0	0	0	0	0
9aebe662a2f3fa53a53d1a692d576e8e	13	0	0	34	54	0	0	0	0	0	0	0	0	0	65	0	0	0	0	16	0	0	0
1fde09201b721129ad69d13fc5865bf0	0	0	28	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
063662c985f2ba53e84a3f7a5b699254	0	0	0	0	0	0	0	0	0	0	7	15	0	0	0	0	46	0	0	37	0	0	0
db7f976b37c1fd8f5d3690e917b2a6c3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
46f9de97b1ac175383f6efc27b37cda6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
811a836a17851c862cd4f199292399ba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42
e6adc86b0ce6d014fd258412ef2eae77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48
51569bb7a30b220232877bb61254e817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
1382ebf15cae28c5cc1ea4dc68645ce1	0	0	19	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
51d253bf68316060be4f05194b7dae81	0	0	0	0	0	0	0	0	0	0	0	13	0	41	0	0	0	0	0	0	0	0	0
e4d3701dcc2ce0a42de143238b83033e	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0
bb88b4cc37ec53d8a65c7027807aafd2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	8	0	0	0	0	0
1b943eaecd088e14a1d627a51914a471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0
96f9b7496107a71a25874c4e76405bb9	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2db0fc8616aaf032cbedbdcae2e313a8	523	48	93	164	142	0	0	0	0	0	104	240	37	15	238	0	0	0	0	0	0	0	0
db0e0a2359454f3c377451ca51ce299c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0
2be912803fd3c9bf52178734a85ab272	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	4	0	0	0
2ef9aa98643675a6601bfe5cf7e0ac84	0	0	0	0	0	0	0	0	0	0	0	0	30	0	38	0	84	0	0	0	0	0	0
b5aa69734e3ea9fe7bc1ceeda46307c5	0	6	0	0	21	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0	0	93
67bcaed5c0e03e81cb84eaa3fea2b124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0
4ca5de1f267fa701c3d67deaf3118ad8	0	0	0	0	0	0	0	0	0	0	0	0	290	159	0	0	0	0	0	0	0	0	0
574cc33e4af8a02ecb304671aa141054	91	26	0	36	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9c7d9a2060bbf25f6a80d54bb8b39618	0	0	0	0	0	0	400	0	0	0	0	11	357	145	5	18	28	0	5	0	0	0	0
f0fb679a2683c69140f20d9fa6adfd4f	0	0	0	0	0	0	0	0	152	466	0	0	0	0	0	0	0	0	65	16	0	0	0
34570bd111007c0492a7abfcab358c24	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d804751d9d48138a3a7ca9aeef24894e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0
1e947c405f8ed208bac5218cc7246ef3	23	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
1b49aa290721414c6f85361d4d5d24d4	0	0	34	58	28	97	17	93	10	4	0	0	13	0	15	24	57	79	48	0	0	0	0
53e27656d9771af6fe821abd5f47e7c9	0	0	16	14	16	0	0	0	0	0	4	0	0	8	0	0	0	0	0	0	0	158	1364
435980b3639e6be968e665b1b84309e0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46
b6e78b759d9a90ca8e6cac09ef650ae5	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	48	0	42
1095368a251dc3880e91650081c8885b	239	330	333	486	224	0	0	0	0	0	274	165	130	84	121	0	68	0	0	0	0	0	0
caeb2e033b71fa98d3d8407c11e14915	10	26	36	38	26	47	0	0	0	0	13	8	62	160	64	12	118	17	0	0	36	0	0
a799b6347eed328bc2413d8df13381a5	141	0	0	63	47	0	232	0	0	0	0	0	170	0	0	0	57	0	55	0	0	0	0
d4ed5422097804cc35164bf4b38c3f46	10	6	0	0	0	0	0	0	0	0	20	0	14	17	20	0	0	0	0	0	0	0	0
c8913cfc06c032ba40591300a0b77ad4	0	0	4	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
599eeffbcfe0e0d713cbf4c9ebea826f	0	4	0	12	5	0	0	0	0	0	13	9	0	0	0	0	0	0	0	0	0	0	0
